Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",142.750000,-63.100000,0.000000,top
"C2","100n","C_0402_1005Metric",139.300000,-67.800000,90.000000,top
"C3","100n","C_0402_1005Metric",151.250000,-68.480000,-90.000000,top
"C4","100n","C_0402_1005Metric",142.750000,-65.000000,0.000000,top
"C5","100n","C_0402_1005Metric",147.770000,-77.250000,180.000000,top
"C6","10n","C_0402_1005Metric",139.100000,-72.240000,90.000000,top
"C7","1u","C_0402_1005Metric",138.250000,-76.000000,180.000000,top
"C8","1u","C_0402_1005Metric",138.250000,-77.500000,180.000000,top
"C9","100n","C_0402_1005Metric",142.400000,-77.150000,0.000000,top
"C10","22u","C_0805_2012Metric",153.750000,-74.000000,0.000000,top
"C11","22u","C_0805_2012Metric",158.750000,-79.250000,90.000000,top
"C12","10p","C_0402_1005Metric",137.600000,-69.740000,90.000000,top
"C13","10p","C_0402_1005Metric",137.600000,-72.200000,-90.000000,top
"D1","LED","LED_0603_1608Metric",161.000000,-79.250000,-90.000000,top
"FB1","120R","L_0603_1608Metric",140.250000,-76.712500,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",161.545000,-69.700000,90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",141.500000,-59.200000,-90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",155.750000,-59.200000,-90.000000,top
"J4","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",139.600000,-87.000000,90.000000,top
"R1","10k","R_0402_1005Metric",134.725000,-66.150000,0.000000,top
"R2","1k5","R_0402_1005Metric",161.000000,-76.250000,90.000000,top
"R3","1k5","R_0402_1005Metric",153.300000,-69.150000,-90.000000,top
"R4","1k5","R_0402_1005Metric",143.250000,-79.250000,180.000000,top
"R5","1k5","R_0402_1005Metric",145.500000,-79.250000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",125.900000,-68.600000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",153.750000,-80.000000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",145.250000,-71.000000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",135.100000,-70.740000,-90.000000,top
